firm_name,twitter_screen_name
TUI AG ,TUI_Presse
TAYLOR WIMPEY PLC ,TaylorWimpeyplc
UDG HEALTHCARE PUBLIC LIMITED COMPANY ,"NA"
UK COMMERCIAL PROPERTY REIT LIMITED ,"NA"
GREENCOAT UK WIND PLC ,"NA"
ULTRA ELECTRONICS HOLDINGS PLC ,"NA"
UNILEVER PLC ,Unilever
UNITE GROUP PLC ,UNITEGroup
UNITED UTILITIES GROUP PLC ,unitedutilities
VICTREX PLC ,"NA"
VIETNAM ENTERPRISE INVESTMENTS LIMITED ,"NA"
VODAFONE GROUP PLC ,VodafoneGroup
VINACAPITAL VIETNAM OPPORTUNITY FUND LD ,"NA"
VESUVIUS PLC ,"NA"
VIVO ENERGY PLC ,"NA"
WEIR GROUP PLC ,"NA"
WOOD GROUP (JOHN) PLC ,"NA"
WIZZ AIR HOLDINGS PLC ,"NA"
WORKSPACE GROUP PLC ,WorkspaceViewer
WILLIAM HILL PLC ,WilliamHill
WPP PLC ,WPP
WITAN INVESTMENT TRUST PLC ,WitanInvTrust
WHITBREAD PLC ,WhitbreadPLC
WORLDWIDE HEALTHCARE TRUST PLC ,"NA"
